ubicacion,TOTAL_PROCESOS,coordenadas
"URIBIA, LA GUAJIRA",13,"Uribia, La Guajira, RAP Caribe, 440029, Colombia"
"URRAO, ANTIOQUIA",17,"Urrao, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"URUMITA, LA GUAJIRA",12,"Urumita, La Guajira, RAP Caribe, Colombia"
"USIACURÍ, ATLÁNTICO",9,"Usiacurí, Atlántico, RAP Caribe, Colombia"
"VALDIVIA, ANTIOQUIA",13,"Valdivia, Norte, Antioquia, RAP del Agua y la Montaña, Colombia"
"VALENCIA, CÓRDOBA",23,"Valencia, Alto Sinú, Córdoba, RAP Caribe, Colombia"
"VALLE DE SAN JOSÉ, SANTANDER",11,"Valle de San José, Guanentá, Santander, RAP Gran Santander, Colombia"
"VALLE DE SAN JUAN, TOLIMA",5,"Valle de San Juan, Centro, Tolima, RAP (Especial) Central, Colombia"
"VALLE DEL GUAMUEZ, PUTUMAYO",37,"Valle del Guamuez (La Hormiga), Putumayo, RAP Amazonía, Colombia"
"VALLEDUPAR, CESAR",1921,"Valledupar, Cesar, RAP Caribe, Colombia"
"VALPARAÍSO, ANTIOQUIA",8,"Valparaíso, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"VALPARAÍSO, CAQUETÁ",14,"Valparaíso, Caquetá, RAP Amazonía, Colombia"
"VEGACHÍ, ANTIOQUIA",9,"Vegachí, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"VENADILLO, TOLIMA",22,"Venadillo, Nevados, Tolima, RAP (Especial) Central, Colombia"
"VENECIA, ANTIOQUIA",19,"Venecia, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"VENECIA, CUNDINAMARCA",5,"Venecia, Sumapaz, Cundinamarca, RAP (Especial) Central, Colombia"
"VENTAQUEMADA, BOYACA",20,"Ventaquemada, Márquez, Boyacá, RAP (Especial) Central, 153640, Colombia"
"VERGARA, CUNDINAMARCA",11,"Vergara, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"VERSALLES, VALLE DEL CAUCA",6,"Versalles, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"VETAS, SANTANDER",1,"Vetas, Soto Norte, Santander, RAP Gran Santander, Colombia"
"VIANÍ, CUNDINAMARCA",8,"Vianí, Magdalena Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"VICTORIA, CALDAS",7,"Victoria, Magdalena Caldense, Caldas, RAP del Agua y la Montaña, Colombia"
"VIGÍA DEL FUERTE, ANTIOQUIA",1,"Vigía del Fuerte, Urabá, Antioquia, RAP del Agua y la Montaña, Colombia"
"VIJES, VALLE DEL CAUCA",12,"Vijes, Sur, Valle del Cauca, RAP Pacífico, 760550, Colombia"
"VILLA DE LEYVA, BOYACA",77,"Villa de Leyva, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"VILLA DE SAN DIEGO DE UBATE, CUNDINAMARCA",168,
"VILLA DEL ROSARIO, NORTE DE SANTANDER",276,"Villa del Rosario, Oriental, Norte de Santander, RAP Gran Santander, 541030, Colombia"
"VILLA RICA, CAUCA",41,"Villa Rica, Norte, Cauca, RAP Pacífico, Colombia"
"VILLAGARZÓN, PUTUMAYO",30,"Villagarzón, Putumayo, RAP Amazonía, 861080, Colombia"
"VILLAGÓMEZ, CUNDINAMARCA",3,"Villagómez, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, Colombia"
"VILLAHERMOSA, TOLIMA",9,"Villahermosa, Nevados, Tolima, RAP (Especial) Central, Colombia"
"VILLAMARÍA, CALDAS",173,"Villamaría, Centrosur, Caldas, RAP del Agua y la Montaña, 176001, Colombia"
"VILLANUEVA, BOLÍVAR",12,"Villanueva, Dique, Bolívar, RAP Caribe, Colombia"
"VILLANUEVA, CASANARE",92,"Villanueva, Casanare, RAP Llanos, Colombia"
"VILLANUEVA, LA GUAJIRA",36,"Villanueva, La Guajira, RAP Caribe, Colombia"
"VILLANUEVA, SANTANDER",9,"Villanueva, Guanentá, Santander, RAP Gran Santander, 684021, Colombia"
"VILLAPINZÓN, CUNDINAMARCA",11,"Villapinzón, Almeidas, Cundinamarca, RAP (Especial) Central, Colombia"
"VILLARRICA, TOLIMA",3,"Villarrica, Oriente, Tolima, RAP Eje Cafetero, Colombia"
"VILLAVICENCIO, META",3617,"Villavicencio, Meta, RAP (Especial) Central, Colombia"
"VILLAVIEJA, HUILA",10,"Villavieja, Norte, Huila, RAP (Especial) Central, 411027, Colombia"
"VILLETA, CUNDINAMARCA",126,"Villeta, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
"VIOTÁ, CUNDINAMARCA",39,"Viotá, Tequendama, Cundinamarca, RAP (Especial) Central, Colombia"
"VISTAHERMOSA, META",9,"Cementerio municipal Vistahermosa, Vista Hermosa, Ariari, Meta, RAP (Especial) Central, Colombia"
"VITERBO, CALDAS",18,"Viterbo, Bajo Occidente, Caldas, RAP del Agua y la Montaña, Colombia"
"VÉLEZ, SANTANDER",51,"Vélez, Santander, RAP Gran Santander, Colombia"
"YACOPÍ, CUNDINAMARCA",6,"Yacopí, Provincia de Rionegro, Cundinamarca, RAP (Especial) Central, Colombia"
"YACUANQUER, NARIÑO",16,"Yacuanquer, Centro, Nariño, RAP Pacífico, Colombia"
"YAGUARÁ, HUILA",14,"Yaguará, Norte, Huila, RAP (Especial) Central, Colombia"
"YALÍ, ANTIOQUIA",3,"Yalí, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"YARUMAL, ANTIOQUIA",73,"Yarumal, Norte, Antioquia, RAP del Agua y la Montaña, 052030, Colombia"
"YOLOMBÓ, ANTIOQUIA",13,"Yolombó, Nordeste, Antioquia, RAP del Agua y la Montaña, Colombia"
"YONDÓ, ANTIOQUIA",26,"Yondó, Magdalena Medio, Antioquia, RAP del Agua y la Montaña, Colombia"
"YOPAL, CASANARE",899,"Yopal, Casanare, RAP Llanos, Colombia"
"YOTOCO, VALLE DEL CAUCA",43,"Yotoco, Centro, Valle del Cauca, RAP Pacífico, Colombia"
"YUMBO, VALLE DEL CAUCA",510,"Yumbo, Sur, Valle del Cauca, RAP Pacífico, 760501, Colombia"
"ZAMBRANO, BOLÍVAR",7,"Zambrano, Montes de María, Bolívar, RAP Caribe, Colombia"
"ZAPATOCA, SANTANDER",22,"Zapatoca, Metropolitana, Santander, RAP Gran Santander, Colombia"
"ZAPAYÁN, MAGDALENA",2,"Zapayán (Punta de Piedras), Magdalena, RAP Caribe, Colombia"
"ZARAGOZA, ANTIOQUIA",19,"Zaragoza, Bajo Cauca, Antioquia, RAP del Agua y la Montaña, Colombia"
"ZARZAL, VALLE DEL CAUCA",154,"Zarzal, Norte, Valle del Cauca, RAP Pacífico, Colombia"
"ZETAQUIRA, BOYACA",3,"Zetaquira, Lengupá, Boyacá, RAP (Especial) Central, Colombia"
"ZIPACÓN, CUNDINAMARCA",18,"Zipacón, Sabana Occidente, RAP (Especial) Central, Colombia"
"ZIPAQUIRÁ, CUNDINAMARCA",864,"Zipaquirá, Ciudad de Zipaquirá, Sabana Centro, Cundinamarca, RAP (Especial) Central, Colombia"
"ZONA BANANERA, MAGDALENA",35,"Zona Bananera (Prado Sevilla), Magdalena, RAP Caribe, Colombia"
"ÚTICA, CUNDINAMARCA",9,"Útica, Gualivá, Cundinamarca, RAP (Especial) Central, Colombia"
