ubicacion,TOTAL_PROCESOS,coordenadas
"CONDOTO, CHOCÓ",16,"Condoto, San Juan, Chocó, RAP Pacífico, Colombia"
"CONFINES, SANTANDER",3,"Confines, Comunera, Santander, RAP Gran Santander, Colombia"
"CONSACA, NARIÑO",10,"Consacá, Occidente, Nariño, RAP Pacífico, Colombia"
"CONTADERO, NARIÑO",7,"Contadero, Exprovincia de Obando, Nariño, RAP Pacífico, 523087, Colombia"
"CONTRATACIÓN, SANTANDER",7,"contratación, Comunera, Santander, RAP Gran Santander, 683071, Colombia"
"CONVENCIÓN, NORTE DE SANTANDER",14,"Convención, Occidente, Norte de Santander, RAP Gran Santander, Colombia"
"COPACABANA, ANTIOQUIA",467,"Copacabana, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia"
"COPER, BOYACA",5,"Coper, Occidente, Boyacá, RAP (Especial) Central, Colombia"
"CORINTO, CAUCA",31,"Corinto, Norte, Cauca, RAP Pacífico, Colombia"
"COROMORO, SANTANDER",4,"Coromoro, Guanentá, Santander, RAP Gran Santander, Colombia"
"COROZAL, SUCRE",160,"Corozal, Sabanas, Sucre, RAP Caribe, Colombia"
"CORRALES, BOYACA",1,"Corrales, Tundama, Boyacá, RAP (Especial) Central, Colombia"
"COTA, CUNDINAMARCA",308,"Cota, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"COTORRA, CÓRDOBA",22,"Cotorra, Bajo Sínú, Córdoba, RAP Caribe, 230507, Colombia"
"COVARACHÍA, BOYACA",3,"Covarachía, Norte, Boyacá, RAP (Especial) Central, 151040, Colombia"
"COVEÑAS, SUCRE",75,"Coveñas, Morrosquillo, Sucre, RAP Caribe, Colombia"
"COYAIMA, TOLIMA",7,"Coyaima, Sur, Tolima, RAP (Especial) Central, Colombia"
"CRAVO NORTE, ARAUCA",5,"Cravo Norte, Arauca, RAP Llanos, Colombia"
"CUASPUD, NARIÑO",4,"Cuaspud, Exprovincia de Obando, Nariño, RAP Pacífico, Colombia"
"CUBARRAL, META",18,"Cubarral, Piedemonte, Meta, RAP (Especial) Central, Colombia"
"CUBARÁ, BOYACA",1,"Cubará, Gutiérrez, Boyacá, RAP (Especial) Central, Colombia"
"CUCUNUBÁ, CUNDINAMARCA",6,"Cucunubá, Ubaté, Cundinamarca, RAP (Especial) Central, 250450, Colombia"
